threads,MAX,avg_calls_finestra,peak_calls_finestra,avg_delay_ns,peak_delay_ns,avg_bloccati,peak_bloccati
1,10,10,10,1000807061,1009384223,1,1
1,50,50,50,999596363,1004177837,1,1
1,100,100,100,998923393,1008893813,1,1
2,10,10,10,999960688,1017788028,2,2
2,50,50,50,1915610097,2009312686,2,2
2,100,100,100,1183389400,1994413904,2,2
4,10,10,10,1060538205,1372270911,4,4
4,50,50,50,1636928247,3010129513,4,4
4,100,100,100,1824940876,2951453036,4,4
8,10,10,10,3047245335,6091220786,8,8
8,50,50,50,3323051158,5974847661,8,8
8,100,100,100,4099862679,6935165685,8,8
