threads,MAX,avg_calls_finestra,peak_calls_finestra,avg_delay_ns,peak_delay_ns,avg_bloccati,peak_bloccati,esito
1,10,10,10,944488829,1003326600,1,1,PASS
1,50,50,50,961335305,1001882823,1,1,PASS
1,100,100,100,972726665,1000777874,1,1,PASS
2,10,10,10,1735907785,2996780054,2,2,PASS
2,50,50,50,1553668646,4997719096,2,2,PASS
2,100,100,100,1452056914,3997338013,2,2,PASS
4,10,10,10,2469978811,6840575592,4,4,PASS
4,50,50,50,2477463953,7001737675,4,4,PASS
4,100,100,100,2276571780,7004303252,4,4,PASS
8,10,10,10,3696676508,7009918051,8,8,PASS
8,50,50,50,3438098075,7009237236,8,8,PASS
8,100,100,100,3072411384,7040714712,8,8,PASS
