threads,MAX,avg_calls_finestra,peak_calls_finestra,avg_delay_ns,peak_delay_ns,avg_bloccati,peak_bloccati
1,10,10,10,972379390,1002138901,1,1
1,50,50,50,983850259,1002016194,1,1
1,100,100,100,993722525,1002083141,1,1
2,10,10,10,1448177551,2998997775,2,2
2,50,50,50,1458966587,3995832609,2,2
2,100,100,100,1468440349,2999426326,2,2
4,10,10,10,2486002488,4687083141,4,4
4,50,50,50,2284407165,7009081040,4,4
4,100,100,100,1962400590,4535331894,4,4
8,10,10,10,3971147979,7012532667,8,8
8,50,50,50,2930641507,7008136190,8,8
8,100,100,100,3096425447,7004023984,8,8
